ID	Controler ID	Data	Operator	Brygada	Zlecenie	PN Wyrobu	Stanowisko	Czynność	Pytanie 1	Uzasadnienie 1	Pytanie 2	Uzasadnienie 2	Pytanie 3	Uzasadnienie 3	Pytanie 4	Uzasadnienie 4	Pytanie 5	Uzasadnienie 5	Pytanie 11	Uzasadnienie 11	Pytanie 6	Uzasadnienie 6	Pytanie 7	Uzasadnienie 7	Pytanie 8	Uzasadnienie 8	Pytanie 9	Uzasadnienie 9	Pytanie 10	Uzasadnienie 10	Uwagi	Start formularza	Stop formularza
9	KlaudiaBA	2025-03-18-11-16-03	000367	ABSOLUTNE ASY	ZSA/00003/03/2025/592240	364E22321200-Rev01	CP-MS	Cięcie przewodu	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
10	KlaudiaBA	2025-03-18-11-21-40	000148	ATOMÓWKI	ZSU/00048/01/2025/065160	364E22586602-Rev02	ZR-PP19	ZR-2x	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
11	KlaudiaBA	2025-03-18-12-07-07	000441	PSZCZÓŁKI	ZSU/00021/02/2025/300070	5100434-00A-RevB	OB/0	OB	TAK		TAK		TAK		NIE	Operator myli pojęcia kontroli pierwszej sztuki z kontrolą międzyoperacyjna 			NIE	Nie dotyczy	TAK				TAK		NIE		TAK					
12	AnastazjaFalowska	2025-03-18-12-17-21	000597	PSZCZÓŁKI	ZSK/00059/02/2025/704240	10-51-000510-Rev00	ZR-TUL/0	ZR	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
13	DianaKonstanty	2025-03-18-17-13-24	000542	BYSTRZAKI	ZSK/00087/01/2025/302380	301-0460-Rev2.02	TEST-HV	M-WIĄZKI	TAK	Pracownik zweryfikował czy wszystkie narzędzia są na stanowisku.	TAK	Test wiązki po rozłożeniu na tablicy. Następnie obkurcz koszulek, taśmowanie plus montaż złącza .Ponowne wykonanie testu.	TAK	 	TAK	Kontrola pierwszej sztuki to kontrola pierwszej wykonanej wiązki. Kontrola międzyoperacyjna to wcześniejszy wykonany etap.			NIE	Licznik nie obowiązuje	TAK				TAK	Dokumentację pracownik ma otwartą. Wszystkie czynności wskazuje poszczególnie.Natomiast finalny rysunek wiązki nie został uwzględniony w dokumentacji. 	NIE	Pracownik nie zweryfikował ile ma ćwiartek w mapie kompetencji.	TAK	Pracownik nakleja czerwona etykietę na wyrobie niezgodnym ,opisuje daną niezgodność. Odkłada do czerwonego pudełka oraz informuje brygadzistę o zaistniałej sytuacji.				
14	DianaKonstanty	2025-03-18-18-04-49	000506	ATOMÓWKI	ZSU/00048/01/2025/065170	364E26540201-Rev01	ZR-PP19	ZR-2x	TAK	Pracownik zanim przystąpił do pracy zweryfikował czy wszystkie narzędzia są dostępne na stanowisku pracy  	TAK	Pracownik prawidłowo ustawił ciśnienie 5,5B . Dobrał odpowiednią głowicę pod tulejkę 04-005-0028 weryfikując jeszcze zgodność z narzędziami dla operatorów.	NIE	Pracownik nie ma włączonego CP na stanowisku 	TAK	Kontrola pierwszej sztuki -kontrola 1 zaciśniętej sztuki . Natomiast kontrola międzyoperacyjna -kontrola wcześniejszego etapu. 			NIE	Nie ma prawidłowo ustawionego licznika .	TAK	Pracownik zweryfikował czy wcześniejszy etap zacisku został poprawnie wykonany z prawidłową końcówką tulejkową 04-005-0069.Operator zweryfikował poprawność zacisku przez siebie końcówki tulejkowej.			TAK	Pracownik szczegółowo pokazał w dokumentacji co ma zaciskać.	TAK	Pracownik ma 3 ćwiartki 	TAK	Należy nakleić opisaną czerwoną etykietkę z niezgodnością. Włożyć do pudełka czerwonego i zgłosić brygadziście	Pracownik został poinstruowany o prawidłowym ustawianiu licznika względem ilości sztuk zacisku			
15	KlaudiaBA	2025-03-19-11-50-23	000550	ABSOLUTNE ASY	ZSK/00043/03/2025/723060ZSK/00043/03/2025/723060	M1WW12419-Rev0	CP-PS	CP 	TAK	Karta kontrolną na stanowisku z 2022 roku	TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
16	AnastazjaFalowska	2025-03-19-13-47-39	000559	ABSOLUTNE ASY	ZSE/00003/01/2025/306040	10070772-RevD	ZR-G/0	MO	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
17	AnastazjaFalowska	2025-03-19-14-16-47	000225	SŁONECZKA	ZSU/00025/03/2025/306600	40-93207-Rev0	M/0	MO 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
18	DianaKonstanty	2025-03-19-17-40-19	000583	ATOMÓWKI	ZSU/00043/01/2025/297790	3732130900-Rev02	M/0	M-WIĄZKI	TAK	Pracownik zweryfikował czy wszystkie narzędzia są na stanowisku.	TAK		NIE	Pracownik nie korzysta z Control Planu dla tej czynności .Nawet się z nim nie zapoznał bo twierdził,że zapomniał 	NIE	Pracownik myli oba pojęcia.			NIE	Nie dotyczy 	NIE	Pracownik w pełni nie wykonał tych czynności ,myli pojęcia nawet w praktyce.			TAK	Pracownik ma otwarty dokument i wskazuje poprawnie informacje zawarte w dokumentacji ,które na chwilę obecną są mu istotne  do wykonania czynności .	NIE	Pracownik nie ma pojęcia ile ma ćwiartek . Został poinstruowany gdzie może się z tym zapoznać 	TAK	Naklejenie czerwonej etykiety z opisem danej niezgodności . Odłożenie do czerwonego pudełka i poinformowanie brygadzistę o zaistniałej sytuacji.	Wytłumaczenie pracownikowi na czym polega kontrola pierwszej sztuki i międzyoperacyjna. 			
